,Players,Values,Team
360,Oihan Sancet,$3.85m  ,athletic bilbao
361,Álex Berenguer,$16.50m  ,athletic bilbao
362,Jon Morcillo,$5.50m  ,athletic bilbao
363,Iñigo Córdoba,$2.20m  ,athletic bilbao
364,Iñigo Vicente,$1.10m  ,athletic bilbao
365,Nico Williams,$1.65m  ,athletic bilbao
366,Ibai Gómez,$1.32m  ,athletic bilbao
367,Iñaki Williams,$27.50m  ,athletic bilbao
368,Asier Villalibre,$4.95m  ,athletic bilbao
369,Raúl García,$2.75m  ,athletic bilbao
370,Kenan Kodro,$1.10m  ,athletic bilbao
371,Sergio Herrera,$6.60m  ,ca osasuna
372,Juan Pérez,$660Th.  ,ca osasuna
373,Rubén Martínez,$550Th.  ,ca osasuna
374,Iván Martínez,$275Th.  ,ca osasuna
375,Iñaki Álvarez,$220Th.  ,ca osasuna
376,David García,$8.25m  ,ca osasuna
377,Aridane Hernández,$3.30m  ,ca osasuna
378,Unai García,$1.65m  ,ca osasuna
379,Jonás Ramalho,$1.10m  ,ca osasuna
380,Raúl Navas,$330Th.  ,ca osasuna
381,Jorge Herrando,$275Th.  ,ca osasuna
382,Gorka Zabarte,$165Th.  ,ca osasuna
383,Manu Sánchez,$8.80m  ,ca osasuna
384,Juan Cruz,$2.42m  ,ca osasuna
385,Nacho Vidal,$2.20m  ,ca osasuna
386,Facundo Roncaglia,$1.10m  ,ca osasuna
387,Lucas Torró,$2.42m  ,ca osasuna
388,Oier,$770Th.  ,ca osasuna
389,Jon Moncayola,$7.70m  ,ca osasuna
390,Darko Brasanac,$1.98m  ,ca osasuna
391,Iñigo Pérez,$660Th.  ,ca osasuna
392,Roberto Torres,$5.50m  ,ca osasuna
393,Javi Martínez,$1.32m  ,ca osasuna
394,Aimar Oroz,$220Th.  ,ca osasuna
395,Jony,$3.08m  ,ca osasuna
396,Kike Saverio,$220Th.  ,ca osasuna
397,Asier Córdoba,$220Th.  ,ca osasuna
398,Rubén García,$11.00m  ,ca osasuna
399,Kike Barja,$3.30m  ,ca osasuna
400,Chimy Ávila,$11.00m  ,ca osasuna
401,Ante Budimir,$9.90m  ,ca osasuna
402,Jonathan Calleri,$5.50m  ,ca osasuna
403,Adrián López,$1.32m  ,ca osasuna
404,Enric Gallego,$1.10m  ,ca osasuna
405,Brandon,$660Th.  ,ca osasuna
406,Marc Cardona,$660Th.  ,ca osasuna
407,Jeremías Ledesma,$5.50m  ,cadiz cf
408,David Gil,$880Th.  ,cadiz cf
409,Juanjo Garrancho,$110Th.  ,cadiz cf
410,Juan Flere,$110Th.  ,cadiz cf
411,Alberto Cifuentes,0,cadiz cf
412,Fali,$3.30m  ,cadiz cf
413,Marcos Mauro,$1.65m  ,cadiz cf
414,Juan Cala,$1.32m  ,cadiz cf
415,Álex Martín,$660Th.  ,cadiz cf
416,Pedro Alcalá,$660Th.  ,cadiz cf
417,Jean-Pierre Rhyner,$330Th.  ,cadiz cf
418,Saturday Erimuya,$330Th.  ,cadiz cf
419,Momo Mbaye,$55Th.  ,cadiz cf
420,Alfonso Espino,$2.75m  ,cadiz cf
421,Marc Baró,$220Th.  ,cadiz cf
422,Iza Carcelén,$1.65m  ,cadiz cf
423,Carlos Akapo,$880Th.  ,cadiz cf
424,Jens Jönsson,$4.40m  ,cadiz cf
425,Jon Ander Garrido,$660Th.  ,cadiz cf
426,Sergio González,$550Th.  ,cadiz cf
427,José Mari,$550Th.  ,cadiz cf
428,Yann Bodiger,$880Th.  ,cadiz cf
429,Augusto Fernández,$330Th.  ,cadiz cf
430,Álvaro Bastida,0,cadiz cf
431,Álex Fernández,$6.60m  ,cadiz cf
432,Jorge Pombo,$1.10m  ,cadiz cf
433,Alberto Perea,$1.32m  ,cadiz cf
434,Jairo Izquierdo,$880Th.  ,cadiz cf
435,Mamady Diarra,$110Th.  ,cadiz cf
436,Salvi Sánchez,$2.20m  ,cadiz cf
437,Iván Alejo,$1.32m  ,cadiz cf
438,Filip Malbasic,$1.32m  ,cadiz cf
439,Bobby Adekanye,$660Th.  ,cadiz cf
440,Kike Carrasco,$55Th.  ,cadiz cf
441,Choco Lozano,$2.42m  ,cadiz cf
442,Álvaro Giménez,$1.65m  ,cadiz cf
443,Rubén Sobrino,$1.65m  ,cadiz cf
444,Ivan Saponjic,$1.32m  ,cadiz cf
445,Álvaro Negredo,$1.32m  ,cadiz cf
446,Nano Mesa,$550Th.  ,cadiz cf
447,Manuel Nieto,$165Th.  ,cadiz cf
448,Jasper Cillessen,$5.50m  ,valencia cf
449,Jaume Doménech,$4.40m  ,valencia cf
450,Cristian Rivero,$330Th.  ,valencia cf
451,Unai Etxebarria,$165Th.  ,valencia cf
452,Gabriel Paulista,$16.50m  ,valencia cf
453,Mouctar Diakhaby,$11.00m  ,valencia cf
454,Hugo Guillamón,$8.25m  ,valencia cf
455,Ferro,$5.50m  ,valencia cf
456,Eliaquim Mangala,$2.75m  ,valencia cf
457,Guillem Molina,$660Th.  ,valencia cf
458,Kevin Sibille,$275Th.  ,valencia cf
459,José Gayà,$38.50m  ,valencia cf
460,Toni Lato,$2.75m  ,valencia cf
461,Álex Centelles,$2.20m  ,valencia cf
462,Jesús Vázquez,$275Th.  ,valencia cf
463,Daniel Wass,$7.70m  ,valencia cf
464,Thierry Correia,$6.60m  ,valencia cf
465,Cristiano Piccini,$2.42m  ,valencia cf
466,Christian Oliva,$4.40m  ,valencia cf
467,Carlos Soler,$44.00m  ,valencia cf
468,Geoffrey Kondogbia,$16.50m  ,valencia cf
469,Uros Racic,$11.00m  ,valencia cf
470,Koba Koindredi,$660Th.  ,valencia cf
471,Kang-in Lee,$11.00m  ,valencia cf
472,Vicente Esquerdo,$1.10m  ,valencia cf
473,Gonçalo Guedes,$27.50m  ,valencia cf
474,Denis Cheryshev,$3.85m  ,valencia cf
475,Álex Blanco,$1.65m  ,valencia cf
476,Yunus Musah,$16.50m  ,valencia cf
477,Jason,$2.75m  ,valencia cf
478,Maxi Gómez,$27.50m  ,valencia cf
479,Patrick Cutrone,$9.90m  ,valencia cf
480,Manu Vallejo,$7.70m  ,valencia cf
481,Kévin Gameiro,$3.30m  ,valencia cf
482,Rubén Sobrino,$1.65m  ,valencia cf
483,Aitor Fernández,$6.60m  ,levante ud
484,Dani Cárdenas,$660Th.  ,levante ud
