,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Values,Team
60,Gregor Kobel,GK,Stuttgart,de Bundesliga,22.0,33.0,33.0,2970.0,33.0,54.0,1.64,155.0,105.0,68.4,11.0,9.0,13.0,5.0,15.2,5.0,1.0,3.0,1.0,48.3,0.28,-4.7,-0.14,138.0,337.0,40.9,282.0,20.0,7.1,17.0,0.52,13.3,14300000.0,vfb stuttgart
61,Alban Lafont,GK,Nantes,fr Ligue 1,21.0,38.0,38.0,3420.0,38.0,55.0,1.45,158.0,113.0,71.5,9.0,13.0,16.0,5.0,13.2,10.0,2.0,8.0,1.0,52.3,0.27,-1.7,-0.04,218.0,675.0,32.3,327.0,24.0,7.3,25.0,0.66,14.9,11000000.0,fc nantes
62,Michael Langer,GK,Schalke 04,de Bundesliga,35.0,3.0,2.0,239.0,2.7,12.0,4.52,24.0,13.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,8.7,0.36,-2.3,-0.85,11.0,35.0,31.4,23.0,0.0,0.0,3.0,1.13,15.1,110000.0,fc schalke 04
63,Gautier Larsonneur,GK,Brest,fr Ligue 1,23.0,35.0,35.0,3150.0,35.0,62.0,1.77,159.0,104.0,66.0,10.0,7.0,18.0,6.0,17.1,8.0,1.0,6.0,2.0,52.4,0.29,-7.6,-0.22,221.0,455.0,48.6,341.0,26.0,7.6,15.0,0.43,12.9,7700000.0,stade brest 29
64,Benjamin Lecomte,GK,Monaco,fr Ligue 1,29.0,28.0,28.0,2520.0,28.0,27.0,0.96,62.0,39.0,61.3,18.0,5.0,5.0,13.0,46.4,3.0,1.0,1.0,1.0,19.2,0.27,-6.8,-0.24,170.0,400.0,42.5,196.0,11.0,5.6,36.0,1.29,18.1,11000000.0,as monaco
65,Jeremías Ledesma,GK,Cádiz,es La Liga,27.0,32.0,32.0,2880.0,32.0,45.0,1.41,118.0,79.0,68.6,10.0,10.0,12.0,9.0,28.1,8.0,2.0,4.0,1.0,38.8,0.27,-5.2,-0.16,341.0,860.0,39.7,333.0,33.0,9.9,14.0,0.44,13.5,5500000.0,cadiz cf
66,Bernd Leno,GK,Arsenal,eng Premier League,28.0,35.0,35.0,3131.0,34.8,37.0,1.06,117.0,84.0,69.2,17.0,6.0,12.0,11.0,31.4,1.0,0.0,5.0,4.0,37.1,0.31,4.1,0.12,110.0,338.0,32.5,310.0,26.0,8.4,22.0,0.63,14.5,24200000.0,arsenal fc
67,Karlo Letica,GK,Sampdoria,it Serie A,23.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,2.0,5.0,40.0,12.0,0.0,0.0,0.0,0.0,10.8,770000.0,uc sampdoria
68,Niklas Lomb,GK,Leverkusen,de Bundesliga,27.0,2.0,1.0,135.0,1.5,3.0,2.0,8.0,5.0,62.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.38,0.1,0.04,5.0,17.0,29.4,12.0,1.0,8.3,1.0,0.67,14.2,275000.0,bayer 04 leverkusen
69,Anthony Lopes,GK,Lyon,fr Ligue 1,29.0,38.0,38.0,3420.0,38.0,43.0,1.13,130.0,94.0,70.8,22.0,10.0,6.0,11.0,28.9,5.0,2.0,4.0,2.0,43.2,0.3,2.2,0.06,214.0,407.0,52.6,308.0,16.0,5.2,39.0,1.03,17.1,15400000.0,olympique lyon
