,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,1.55,16.5,0.11,1.71,1.07,0.00
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,2.00,13.0,0.33,1.00,4.67,0.00
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,1.89,17.6,0.25,0.99,0.40,0.00
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,3.33,33.3,0.00,3.33,6.67,0.00
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,0.75,17.3,0.13,1.45,0.75,0.00
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,0.35,14.4,0.12,0.29,0.47,0.00
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,0.00,10.0,0.00,0.00,0.00,0.00
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,2.84,26.5,0.09,1.28,0.83,0.00
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,1.08,13.6,0.20,0.34,0.61,0.00
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,1.02,10.5,0.19,0.74,0.60,0.00
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,2.00,13.0,0.00,3.00,1.00,1.00
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,1.13,7.62,0.44,1.21,2.82,0.04
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,0.00,6.67,0.00,0.00,0.00,0.00
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,2.66,22.7,0.47,1.95,2.46,0.00
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,2.21,23.7,0.07,0.83,0.69,0.00
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,1.71,12.4,0.49,1.87,3.01,0.00
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,0.65,14.2,0.12,0.43,0.55,0.00
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,0.91,8.05,1.29,1.08,7.04,0.07
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,1.94,20.3,0.00,0.00,0.28,0.00
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,1.60,11.0,0.32,1.28,5.37,0.16
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,2.50,23.4,0.00,1.36,1.36,0.00
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,2.66,13.4,0.52,1.57,4.34,0.03
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,1.07,17.3,0.14,0.80,1.70,0.00
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,0.00,2.50,0.00,0.00,0.00,0.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,1.35,9.11,0.62,1.14,2.68,0.03
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,3.25,15.6,0.06,1.30,2.37,0.00
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,5.71,32.9,0.00,0.00,1.43,0.00
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,0.37,13.5,0.12,0.25,0.62,0.12
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,1.91,17.2,0.54,0.65,1.99,0.00
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,1.28,13.1,0.00,0.77,1.28,0.00
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,0.00,0.16,0.00,0.00,0.06,0.00
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,3.87,16.6,0.00,1.43,1.60,0.00
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,2.02,21.7,0.34,0.72,0.72,0.00
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,1.46,20.2,0.49,0.49,0.98,0.00
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,1.14,7.66,0.79,1.28,5.83,0.10
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,2.50,25.0,0.00,5.00,0.00,0.00
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,1.23,14.8,0.29,0.53,0.86,0.04
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,2.20,13.4,1.00,1.52,3.95,0.06
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,0.65,10.5,0.00,0.41,0.41,0.00
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,2.09,14.5,0.27,1.81,2.69,0.05
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,1.40,8.26,0.81,2.27,6.28,0.03
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,2.07,18.1,0.17,1.21,1.55,0.00
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,2.22,28.2,0.30,0.61,1.62,0.00
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,2.22,14.4,0.00,0.00,1.11,0.00
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,0.00,50.0,0.00,0.00,0.00,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,0.45,8.18,0.15,0.00,0.61,0.00
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,10.0,43.3,0.00,0.00,0.00,0.00
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,2.41,19.6,0.26,1.22,1.49,0.00
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,1.77,9.22,0.85,2.70,9.01,0.07
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,1.80,16.2,0.00,1.46,0.90,0.00
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,2.50,17.0,0.09,0.78,0.73,0.04
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,1.47,9.61,0.39,0.56,1.77,0.00
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,2.86,23.0,0.32,1.11,1.06,0.00
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,0.97,12.1,0.16,0.25,0.53,0.00
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,2.26,22.1,0.13,1.10,1.48,0.06
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,0.00,10.0,0.00,0.00,10.0,0.00
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,0.63,9.21,0.00,0.26,0.00,0.00
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,0.66,11.9,0.07,0.34,0.14,0.00
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,2.15,20.4,0.15,0.74,1.41,0.00
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,4.00,28.0,0.00,0.00,2.00,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,1.83,12.7,0.67,0.77,2.60,0.00
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,1.38,10.1,0.69,1.08,4.92,0.00
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,0.40,10.7,0.17,0.17,0.91,0.00
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,0.96,17.8,0.27,1.23,0.55,0.14
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,3.53,11.8,0.59,2.35,1.18,0.00
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,0.00,0.08,0.00,0.00,0.00,0.05
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,1.66,10.1,0.37,1.36,3.12,0.00
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,0,0,0,0,0,0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,0.00,33.8,0.00,0.00,0.00,0.00
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,2.94,9.41,1.76,3.53,7.65,0.00
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,2.59,20.1,0.14,1.50,1.16,0.00
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,2.00,18.5,0.00,0.84,0.65,0.00
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,13.8,1.23,18.0,0.00,0.43,0.65,0.07
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,20.1,2.24,12.7,0.45,3.13,5.32,0.05
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,2.9,2.76,12.4,0.34,0.34,0.69,0.00
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,6.1,2.13,18.5,0.33,0.49,1.15,0.00
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,25.8,2.87,20.8,0.62,1.86,1.74,0.04
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,20.2,0.64,11.9,0.30,0.25,1.83,0.00
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,32.2,0.37,7.61,0.16,0.43,0.65,0.00
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,4.5,2.44,26.4,0.00,1.78,0.44,0.00
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,0.3,0.00,0.00,0.00,0.00,0.00,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,27.5,1.42,15.6,0.07,1.27,1.42,0.00
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,1.3,2.31,10.8,0.77,1.54,3.85,0.00
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,18.7,1.76,12.6,0.05,0.86,1.60,0.00
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,1.5,0.00,25.3,0.67,0.00,0.67,0.00
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,25.3,1.98,24.7,0.12,0.95,1.19,0.00
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,29.0,2.48,14.7,0.72,1.17,2.76,0.10
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,15.1,1.26,11.0,0.13,1.13,0.93,0.00
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,12.4,1.69,17.5,0.16,0.24,1.53,0.08
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,13.4,1.19,18.0,0.07,0.90,0.37,0.00
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,18.3,2.24,22.4,0.11,0.93,1.31,0.05
Bernard\Bernard,MFFW,Everton,eng Premier League,27,5.1,0.98,15.5,0.00,1.37,0.59,0.00
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,10.8,1.02,11.1,0.28,1.20,1.20,0.00
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,2.3,3.48,14.8,0.00,0.00,1.30,0.00
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38.0,0.03,0.13,0.00,0.00,0.00,0.03
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,2.2,2.73,17.3,0.00,0.45,2.27,0.00
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,8.3,0.00,0.12,0.00,0.00,0.00,0.00
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,0.1,10.0,60.0,0.00,0.00,0.00,0.00
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,28.9,2.46,11.0,0.17,1.07,1.94,0.03
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,6.8,2.35,20.0,0.00,0.59,0.29,0.00
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1.0,2.00,14.0,1.00,0.00,2.00,0.00
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,2.1,1.43,13.3,1.90,2.86,5.24,0.00
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,3.0,2.00,23.0,0.00,1.00,0.33,0.00
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,1.0,3.00,17.0,0.00,0.00,5.00,0.00
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,1.4,0.71,13.6,0.71,0.71,6.43,0.00
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,17.0,0.88,6.24,0.35,0.94,6.24,0.06
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,13.8,1.88,19.1,0.14,0.36,1.30,0.07
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,31.1,1.35,7.75,0.29,0.61,2.28,0.00
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,10.2,1.67,16.6,0.59,1.57,2.75,0.00
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,34.6,3.29,15.6,0.23,1.73,1.94,0.00
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,16.8,3.51,29.9,0.18,0.83,0.48,0.00
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,2.4,2.50,30.4,0.83,0.83,2.50,0.00
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,6.4,2.03,19.8,0.16,0.94,0.78,0.00
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,18.2,0.00,0.22,0.00,0.00,0.05,0.05
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,31.0,1.87,20.3,0.16,0.97,0.61,0.00
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,0.1,0.00,70.0,0.00,0.00,0.00,0.00
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,26.3,1.10,7.45,0.72,1.83,4.14,0.00
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,10.1,2.08,24.9,0.30,0.99,0.20,0.10
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,2.8,1.07,25.4,1.07,2.14,1.43,0.00
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,22.9,2.14,20.3,0.13,1.09,0.70,0.04
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,20.7,3.86,18.5,0.34,1.69,3.00,0.00
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,1.4,3.57,15.0,0.00,0.71,1.43,0.00
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,19.8,0.76,11.1,0.00,0.61,0.56,0.00
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,3.1,2.26,15.2,0.00,0.97,1.94,0.00
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,12.3,2.93,19.0,0.33,1.63,1.79,0.00
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,14.6,1.71,14.0,0.14,0.82,0.07,0.00
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,20.9,1.96,7.66,0.62,1.10,4.98,0.00
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,25.1,1.59,14.3,0.08,1.51,0.64,0.00
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,6.3,0.95,18.6,0.00,0.32,0.63,0.00
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,1.5,0.67,16.7,0.00,0.00,0.00,0.00
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,27.4,1.57,9.67,0.77,1.79,4.01,0.07
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,22.5,1.07,6.53,0.76,0.80,3.73,0.00
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,0.1,0.00,20.0,0.00,0.00,0.00,0.00
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,23.1,1.60,8.61,1.21,1.04,5.93,0.00
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,36.8,1.30,7.01,0.57,1.03,5.24,0.03
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,30.2,2.09,22.1,0.26,0.73,1.19,0.03
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,19.3,2.80,23.5,0.26,0.93,1.40,0.05
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,7.2,1.39,14.6,0.00,1.11,0.14,0.00
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,8.1,2.10,17.8,0.12,0.62,0.12,0.00
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,6.7,2.54,25.4,0.45,0.90,1.49,0.15
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,31.3,0.96,13.1,0.10,0.32,0.32,0.00
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33.0,0.00,0.06,0.00,0.00,0.06,0.03
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,9.1,1.98,14.0,0.22,2.09,1.43,0.00
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,5.9,1.36,15.9,1.02,1.36,1.86,0.00
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,28.4,1.41,19.0,0.04,0.81,1.23,0.00
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,0.1,0.00,30.0,0.00,0.00,0.00,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,28.5,0.81,12.8,0.04,0.77,0.18,0.00
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,17.2,0.99,5.23,1.28,0.99,4.65,0.12
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,33.8,1.98,10.9,0.74,1.69,5.98,0.03
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,29.9,1.54,21.2,0.10,0.67,0.74,0.00
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,7.2,3.61,32.1,0.28,0.69,0.69,0.00
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,0.7,0.00,15.7,0.00,0.00,0.00,0.00
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,1.3,0.00,11.5,0.00,0.77,0.00,0.00
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,14.0,2.36,9.43,0.36,1.36,2.57,0.00
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,11.7,1.88,15.5,0.17,0.77,2.05,0.09
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,13.1,0.53,10.1,0.00,0.61,0.53,0.00
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,16.6,1.87,19.0,0.06,0.84,0.42,0.00
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,10.1,1.49,20.7,0.20,0.40,1.29,0.00
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,10.7,1.96,11.3,0.47,1.78,5.89,0.00
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,0.2,5.00,10.0,0.00,0.00,0.00,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20.0,0.00,0.15,0.00,0.00,0.00,0.00
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,20.2,1.19,16.7,0.00,0.89,0.30,0.00
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,32.6,1.99,11.1,0.61,2.70,6.10,0.00
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,0.0,0,0,0,0,0,0
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,12.5,1.12,19.0,0.24,0.48,0.24,0.00
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,13.6,1.18,7.13,0.96,1.54,5.81,0.07
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,6.3,1.27,14.3,0.32,0.16,0.48,0.00
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,14.7,1.84,21.5,0.27,1.02,1.63,0.00
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,0.0,1,1,0,0,0,0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,37.9,1.98,10.9,0.42,1.00,4.30,0.08
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,30.8,1.92,9.06,0.45,1.66,6.14,0.06
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,15.9,1.19,8.93,0.13,0.82,2.52,0.00
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,31.3,1.63,15.7,0.38,1.69,1.79,0.00
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,28.7,1.81,18.6,0.59,1.36,1.57,0.00
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,18.0,2.33,19.1,0.22,2.06,1.78,0.06
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,0.3,0.00,10.0,0.00,0.00,3.33,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,5.3,0.57,12.8,0.00,0.19,0.38,0.00
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,29.5,1.73,12.0,0.31,0.98,4.03,0.03
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,1.0,0.00,27.0,0.00,0.00,0.00,0.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,0.1,10.0,30.0,0.00,0.00,0.00,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,25.2,1.43,16.7,0.00,0.60,0.48,0.00
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,7.4,2.57,13.1,0.41,1.76,2.57,0.00
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,11.2,2.14,13.4,0.98,2.50,6.25,0.27
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,0.2,5.00,65.0,0.00,0.00,0.00,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,18.1,1.10,21.5,0.06,0.06,0.99,0.00
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8.0,0.00,0.00,0.00,0.00,0.00,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,10.9,1.56,17.3,0.09,0.64,1.10,0.00
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,9.5,0.84,10.8,0.95,2.00,4.63,0.11
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,12.3,0.73,4.72,0.49,0.98,7.15,0.08
Burgui\Burgui,MF,Alavés,es La Liga,26,0.2,5.00,15.0,0.00,0.00,5.00,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,15.3,1.96,19.0,0.33,0.33,0.92,0.00
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,0.2,0.00,30.0,0.00,0.00,0.00,0.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,14.1,1.28,29.4,0.00,0.14,0.28,0.00
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,18.5,0.00,0.05,0.00,0.00,0.00,0.00
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,22.9,2.05,13.5,0.31,1.62,4.15,0.00
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,0.0,0,0,0,0,0,0
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,14.6,1.51,9.45,0.34,1.44,2.81,0.07
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,13.3,2.11,16.8,0.08,1.35,2.56,0.08
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,28.0,2.50,19.6,0.11,1.39,0.89,0.07
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1.0,0.00,0.00,0.00,0.00,0.00,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,0.2,0.00,25.0,0.00,0.00,0.00,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1.0,0.00,0.00,0.00,0.00,0.00,1.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,14.7,1.63,9.32,0.48,0.82,7.14,0.07
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,10.5,2.48,19.0,0.00,1.24,0.38,0.00
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,24.9,1.16,10.8,0.44,0.68,3.05,0.04
