,,,,,,Tota,
Player,Pos,Squad,Comp,Age,90s,Cmp%,Prog
,,,,,,,
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,100.0,20.0
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,73.7,2.66
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,84.9,3.85
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,80.0,2.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,83.2,5.48
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,91.5,3.69
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,68.1,0.91
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,65.9,2.60
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,72.7,2.94
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,80.8,0.00
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,84.8,2.88
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,,0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,67.3,0.00
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,92.2,2.94
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,86.6,5.24
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,78.0,3.03
